WRL	0	WR			World
NRD	4	1938	1938-06-16	1938-10-02	1938_Nordic_Championship
NRD	4	1937	1937-06-12	1937-10-17	1937_Nordic_Championship
NRD	3	1933-36	1933-06-10	1936-09-27	1933-36_Nordic_Championship
NRD	4	1936	1936-06-13	1936-09-27	1936_Nordic_Championship
NRD	4	1935	1935-06-11	1935-10-06	1935_Nordic_Championship
NRD	4	1934	1934-06-16	1934-09-23	1934_Nordic_Championship
NRD	4	1933	1933-06-10	1933-10-08	1933_Nordic_Championship
NRD	3	1929-32	1929-06-13	1932-09-25	1929-32_Nordic_Championship
NRD	4	1932	1932-06-09	1932-09-25	1932_Nordic_Championship
NRD	4	1931	1931-05-24	1931-10-11	1931_Nordic_Championship
NRD	4	1930	1930-05-31	1930-09-28	1930_Nordic_Championship
NRD	4	1929	1929-06-13	1929-10-13	1929_Nordic_Championship
NRD	3	1924-28	1924-06-14	1928-10-07	1924-28_Nordic_Championship
NRD	4	1928	1928-06-06	1928-10-07	1928_Nordic_Championship
NRD	4	1927	1927-06-18	1927-10-30	1927_Nordic_Championship
NRD	4	1926	1926-06-08	1926-10-03	1926_Nordic_Championship
NRD	4	1925	1925-06-13	1925-08-23	1925_Nordic_Championship
NRD	4	1924	1924-06-14	1924-09-21	1924_Nordic_Championship
AM	1				2024_Copa_America
CA	2				2024_Copa_America
CA	3	2024	2024-06-19	2024-07-14	2024_Copa_America
CQT	4	Q	2024-03-22	2024-03-23	2024_Copa_America_qualifying
CA	3	2021	2021-06-12	2021-07-10	2021_Copa_America
2001-19	3
CA	4	2019	2019-06-13	2019-07-07	2019_Copa_America
CA	4	2016	2016-06-02	2016-06-26	2016_Copa_America
CQT	5	Q	2016-01-07	2016-01-08	2016_Copa_America_qualifying
CA	4	2015	2015-06-10	2015-07-04	2015_Copa_America
CA	4	2011	2011-06-30	2011-07-24	2011_Copa_America
CA	4	2007	2007-06-25	2007-07-15	2007_Copa_America
CA	4	2004	2004-07-05	2004-07-25	2004_Copa_America
CA	4	2001	2001-07-10	2001-07-29	2001_Copa_America
1991-99	3
CA	4	1999	1999-06-28	1999-07-18	1999_Copa_America
CA	4	1997	1997-06-10	1997-06-29	1997_Copa_America
CA	4	1995	1995-07-04	1995-07-23	1995_Copa_America
CA	4	1993	1993-06-14	1993-07-04	1993_Copa_America
CA	4	1991	1991-07-05	1991-07-21	1991_Copa_America
1963-89	3
CA	4	1989	1989-06-30	1989-07-16	1989_Copa_America
CA	4	1987	1987-06-26	1987-07-12	1987_Copa_America
CA	4	1983	1983-08-09	1983-11-04	1983_Copa_America
CA	4	1979	1979-07-17	1979-12-11	1979_Copa_America
CA	4	1975	1975-07-16	1975-10-28	1975_Copa_America
SA	4	1967	1967-01-16	1967-02-02	1967_South_American_Championship
SQT	5	Q	1966-11-29	1966-12-28	1967_South_American_Championship_qualifying
SA	4	1963	1963-03-09	1963-03-31	1963_South_American_Championship
1953-59	3
SA2	4	1959_II	1959-12-04	1959-12-25	1959_South_American_Championship_II
SA1	4	1959_I	1959-03-06	1959-04-04	1959_South_American_Championship_I
SA	4	1957	1957-03-06	1957-04-06	1957_South_American_Championship
SA	4	1956	1956-01-20	1956-02-15	1956_South_American_Championship
SA	4	1955	1955-02-26	1955-03-30	1955_South_American_Championship
SA	4	1953	1953-02-21	1953-04-01	1953_South_American_Championship
1935-49	3
SA	4	1949	1949-04-02	1949-05-11	1949_South_American_Championship
SA	4	1947	1947-11-29	1947-12-30	1947_South_American_Championship
SA	4	1946	1946-01-11	1946-02-10	1946_South_American_Championship
SA	4	1945	1945-01-13	1945-02-28	1945_South_American_Championship
SA	4	1942	1942-01-09	1942-02-07	1942_South_American_Championship
SA	4	1941	1941-02-01	1941-03-04	1941_South_American_Championship
SA	4	1939	1939-01-14	1939-02-12	1939_South_American_Championship
SA	4	1936-37	1936-12-26	1937-02-01	1936-37_South_American_Championship
SA	4	1935	1935-01-05	1935-01-27	1935_South_American_Championship
1916-29	3
SA	4	1929	1929-10-31	1929-11-17	1929_South_American_Championship
SA	4	1927	1927-10-29	1927-11-27	1927_South_American_Championship
SA	4	1926	1926-10-11	1926-11-03	1926_South_American_Championship
SA	4	1925	1925-11-28	1925-12-25	1925_South_American_Championship
SA	4	1924	1924-10-11	1924-11-02	1924_South_American_Championship
SA	4	1923	1923-10-28	1923-12-02	1923_South_American_Championship
SA	4	1922	1922-09-16	1922-10-22	1922_South_American_Championship
SA	4	1921	1921-10-01	1921-10-30	1921_South_American_Championship
SA	4	1920	1920-09-10	1920-09-26	1920_South_American_Championship
SA	4	1919	1919-05-10	1919-05-29	1919_South_American_Championship
SA	4	1917	1917-09-29	1917-10-14	1917_South_American_Championship
SA	4	1916	1916-07-01	1916-07-17	1916_South_American_Championship
CCH	2				2025_CONCACAF_Championship
CCH	3	2025	2025-06-13	2025-07-06	2025_CONCACAF_Championship
NQT	4	Q	2024-11-13	2025-03-25	2025_CONCACAF_Championship_qualifying
CCH	3	2023	2023-06-23	2023-07-16	2023_CONCACAF_Championship
NQT	4	Q	2023-06-15	2023-06-20	2023_CONCACAF_Championship_qualifying
CCH	3	2021	2021-07-09	2021-08-01	2021_CONCACAF_Championship
NQT	4	Q	2021-07-01	2021-07-06	2021_CONCACAF_Championship_qualifying
CCH	3	2019	2019-06-14	2019-07-07	2019_CONCACAF_Championship
CCH	3	2017	2017-07-06	2017-07-26	2017_CONCACAF_Championship
NQT	4	Q	2016-03-21	2017-03-28	2017_CONCACAF_Championship_qualifying
CCH	3	2015	2015-07-06	2015-07-26	2015_CONCACAF_Championship
NQT	4	Q	2014-05-29	2015-03-29	2015_CONCACAF_Championship_qualifying
CCH	3	2013	2013-07-06	2013-07-28	2013_CONCACAF_Championship
NQT	4	Q	2012-09-04	2013-01-25	2013_CONCACAF_Championship_qualifying
CCH	3	2011	2011-06-04	2011-06-25	2011_CONCACAF_Championship
NQT	4	Q	2010-10-01	2011-01-21	2011_CONCACAF_Championship_qualifying
CCH	3	2009	2009-07-02	2009-07-26	2009_CONCACAF_Championship
NQT	4	Q	2008-07-26	2009-01-29	2009_CONCACAF_Championship_qualifying
CCH	3	2007	2007-06-05	2007-06-24	2007_CONCACAF_Championship
NQT	4	Q	2006-09-01	2007-02-15	2007_CONCACAF_Championship_qualifying
CCH	3	2005	2005-07-05	2005-07-24	2005_CONCACAF_Championship
NQT	4	Q	2004-10-30	2005-02-24	2005_CONCACAF_Championship_qualifying
CCH	3	2003	2003-07-11	2003-07-27	2003_CONCACAF_Championship
NQT	4	Q	2002-07-05	2003-04-27	2003_CONCACAF_Championship_qualifying
CCH	3	2002	2002-01-17	2002-02-02	2002_CONCACAF_Championship
NQT	4	Q	2001-02-02	2001-08-05	2002_CONCACAF_Championship_qualifying
CCH	3	2000	2000-02-11	2000-02-27	2000_CONCACAF_Championship
NQT	4	Q	1998-03-02	1999-10-10	2000_CONCACAF_Championship_qualifying
CCH	3	1998	1998-01-31	1998-02-15	1998_CONCACAF_Championship
NQT	4	Q	1997-02-18	1997-10-04	1998_CONCACAF_Championship_qualifying
CCH	3	1996	1996-01-09	1996-01-21	1996_CONCACAF_Championship
NQT	4	Q	1995-03-18	1995-12-10	1996_CONCACAF_Championship_qualifying
CCH	3	1993	1993-07-09	1993-07-25	1993_CONCACAF_Championship
NQT	4	Q	1993-02-15	1993-05-28	1993_CONCACAF_Championship_qualifying
CCH	3	1991	1991-06-27	1991-07-07	1991_CONCACAF_Championship
NQT	4	Q	1991-04-17	1991-06-02	1991_CONCACAF_Championship_qualifying
CCH	3	1989	1989-03-18	1989-11-19	1989_CONCACAF_Championship
NQT	4	Q	1988-04-16	1988-11-13	1989_CONCACAF_Championship_qualifying
CCH	3	1985	1985-02-23	1985-09-14	1985_CONCACAF_Championship
NQT	4	Q	1984-06-14	1984-10-06	1985_CONCACAF_Championship_qualifying
CCH	3	1981	1981-10-31	1981-11-22	1981_CONCACAF_Championship
NQT	4	Q	1980-03-29	1980-12-21	1981_CONCACAF_Championship_qualifying
CCH	3	1977	1977-10-07	1977-10-23	1977_CONCACAF_Championship
NQT	4	Q	1976-04-01	1976-12-29	1977_CONCACAF_Championship_qualifying
CCH	3	1973	1973-11-28	1973-12-18	1973_CONCACAF_Championship
NQT	4	Q	1972-04-14	1972-12-10	1973_CONCACAF_Championship_qualifying
CCH	3	1971	1971-11-19	1971-12-05	1971_CONCACAF_Championship
NQT	4	Q	1971-09-08	1971-10-13	1971_CONCACAF_Championship_qualifying
CCH	3	1969	1969-11-22	1969-12-07	1969_CONCACAF_Championship
NQT	4	Q	1969-04-19	1969-11-05	1969_CONCACAF_Championship_qualifying
CCH	3	1967	1967-03-04	1967-03-19	1967_CONCACAF_Championship
NQT	4	Q	1967-01-10	1967-02-17	1967_CONCACAF_Championship_qualifying
CCH	3	1965	1965-03-27	1965-04-11	1965_CONCACAF_Championship
NQT	4	Q	1965-03-06	1965-03-14	1965_CONCACAF_Championship_qualifying
CCH	3	1963	1963-03-22	1963-04-07	1963_CONCACAF_Championship
CNL	2				2024-25_CONCACAF_Nations_League
CNL	3	2024-25	2024-11-13	2025-03-23	2024-25_CONCACAF_Nations_League
CLA	4	LA	2024-09-04	2024-10-15	2024-25_CONCACAF_Nations_League_A
CLB	4	LB	2024-09-04	2024-11-19	2024-25_CONCACAF_Nations_League_B
CLC	4	LC	2024-09-03	2024-10-15	2024-25_CONCACAF_Nations_League_C
CNL	3	2023-24	2024-03-20	2024-03-24	2023-24_CONCACAF_Nations_League
CLA	4	LA	2023-09-06	2023-11-21	2023-24_CONCACAF_Nations_League_A
CLB	4	LB	2023-09-06	2023-11-21	2023-24_CONCACAF_Nations_League_B
CLC	4	LC	2023-09-06	2023-11-21	2023-24_CONCACAF_Nations_League_C
CNL	3	2022-23	2023-06-14	2023-06-18	2022-23_CONCACAF_Nations_League
CLA	4	LA	2022-06-01	2023-03-28	2022-23_CONCACAF_Nations_League_A
CLB	4	LB	2022-06-01	2023-03-28	2022-23_CONCACAF_Nations_League_B
CLC	4	LC	2022-06-01	2023-03-28	2022-23_CONCACAF_Nations_League_C
CNL	3	2019-21	2021-06-02	2021-06-06	2019-21_CONCACAF_Nations_League
CLA	4	LA	2019-09-04	2019-11-19	2019-21_CONCACAF_Nations_League_A
CLB	4	LB	2019-09-04	2019-11-19	2019-21_CONCACAF_Nations_League_B
CLC	4	LC	2019-09-04	2019-11-19	2019-21_CONCACAF_Nations_League_C
NLQ	4	Q	2018-09-05	2019-03-24	2019-21_CONCACAF_Nations_League_qualifying
CCF	2				1961_CCCF_Championship
CCF	3	1961	1961-03-04	1961-03-19	1961_CCCF_Championship
CCF	3	1960	1960-02-13	1960-02-29	1960_CCCF_Championship
CCF	3	1957	1957-08-10	1957-08-25	1957_CCCF_Championship
CCF	3	1955	1955-08-13	1955-08-28	1955_CCCF_Championship
CCF	3	1953	1953-03-07	1953-03-22	1953_CCCF_Championship
CCF	3	1951	1951-02-24	1951-03-04	1951_CCCF_Championship
CCF	3	1948	1948-02-28	1948-03-21	1948_CCCF_Championship
CCF	3	1946	1946-02-22	1946-03-13	1946_CCCF_Championship
CCF	3	1943	1943-12-04	1943-12-19	1943_CCCF_Championship
CCF	3	1941	1941-05-07	1941-05-18	1941_CCCF_Championship
CCG	2				1946_Central_American_and_Caribbean_Games
CAC	3	1946	1946-12-08	1946-12-21	1946_Central_American_and_Caribbean_Games
CAC	3	1938	1938-02-09	1938-02-23	1938_Central_American_and_Caribbean_Games
CAG	3	1935	1935-03-23	1935-04-03	1935_Central_American_Games
CAG	3	1930	1930-03-15	1930-04-04	1930_Central_American_Games
CRC	2				2017_Caribbean_Championship
CRC	3	2017	2017-06-21	2017-06-25	2017_Caribbean_Championship
CRP	4	P	2017-01-03	2017-01-08	2017_Caribbean_Championship_playoffs
CRT	4	Q	2016-03-21	2016-11-13	2017_Caribbean_Championship_qualifying
CRC	3	2014	2014-11-10	2014-11-18	2014_Caribbean_Championship
CRT	4	Q	2014-05-29	2014-10-12	2014_Caribbean_Championship_qualifying
CRC	3	2012	2012-12-06	2012-12-16	2012_Caribbean_Championship
CRT	4	Q	2012-09-04	2012-11-18	2012_Caribbean_Championship_qualifying
CRC	3	2010	2010-11-25	2010-12-05	2010_Caribbean_Championship
CRT	4	Q	2010-10-01	2010-11-14	2010_Caribbean_Championship_qualifying
CRC	3	2008	2008-12-02	2008-12-14	2008_Caribbean_Championship
CRT	4	Q	2008-07-26	2008-11-09	2008_Caribbean_Championship_qualifying
CBC	3	2007	2007-01-11	2007-01-23	2007_Caribbean_Cup
CBT	4	Q	2006-09-01	2007-01-09	2007_Caribbean_Cup_qualifying
CBC	3	2005	2005-02-19	2005-02-24	2005_Caribbean_Cup
CBT	4	Q	2004-10-30	2005-01-16	2005_Caribbean_Cup_qualifying
CBC	3	2001	2001-05-14	2001-05-25	2001_Caribbean_Cup
CBT	4	Q	2001-02-02	2001-04-14	2001_Caribbean_Cup_qualifying
CBC	3	1999	1999-06-02	1999-06-13	1999_Caribbean_Cup
CBT	4	Q	1999-02-02	1999-05-09	1999_Caribbean_Cup_qualifying
CBC	3	1998	1998-07-21	1998-07-31	1998_Caribbean_Cup
CBT	4	Q	1998-03-02	1998-05-10	1998_Caribbean_Cup_qualifying
CBC	3	1997	1997-07-03	1997-07-13	1997_Caribbean_Cup
CBT	4	Q	1997-02-18	1997-05-04	1997_Caribbean_Cup_qualifying
CBC	3	1996	1996-05-23	1996-06-07	1996_Caribbean_Cup
CBT	4	Q	1996-03-16	1996-05-05	1996_Caribbean_Cup_qualifying
CBC	3	1995	1995-07-18	1995-07-30	1995_Caribbean_Cup
CBT	4	Q	1995-03-18	1995-05-27	1995_Caribbean_Cup_qualifying
CBC	3	1994	1994-04-06	1994-04-17	1994_Caribbean_Cup
CBT	4	Q	1994-01-18	1994-03-10	1994_Caribbean_Cup_qualifying
CBC	3	1993	1993-05-20	1993-05-30	1993_Caribbean_Cup
CBT	4	Q	1993-02-28	1993-04-29	1993_Caribbean_Cup_qualifying
CBC	3	1992	1992-06-16	1992-06-26	1992_Caribbean_Cup
CBT	4	Q	1992-02-29	1992-05-09	1992_Caribbean_Cup_qualifying
CBC	3	1991	1991-05-22	1991-06-02	1991_Caribbean_Cup
CBT	4	Q	1991-05-07	1991-05-19	1991_Caribbean_Cup_qualifying
CRC	3	1990	1990-07-21	1990-07-27	1990_Caribbean_Championship
CRT	4	Q	1990-03-23	1990-06-03	1990_Caribbean_Championship_qualifying
CRC	3	1989	1989-07-01	1989-07-09	1989_Caribbean_Championship
CRT	4	Q	1989-04-22	1989-06-19	1989_Caribbean_Championship_qualifying
CUC	3	1988	1988-07-04	1988-07-09	1988_Caribbean_Championship
CUT	4	Q	1987-11-10	1988-05-08	1988_Caribbean_Championship_qualifying
CUC	3	1985	1985-06-24	1985-06-30	1985_Caribbean_Championship
CUT	4	Q	1985-02-23	1985-05-05	1985_Caribbean_Championship_qualifying
CUC	3	1983	1983-07-22	1983-07-27	1983_Caribbean_Championship
CUT	4	Q	1983-02-19	1983-06-05	1983_Caribbean_Championship_qualifying
CUC	3	1981	1981-10-18	1981-10-25	1981_Caribbean_Championship
CUT	4	Q	1981-06-06	1981-09-27	1981_Caribbean_Championship_qualifying
CUC	3	1979	1979-11-10	1979-11-18	1979_Caribbean_Championship
CUT	4	Q	1978-12-31	1979-11-02	1979_Caribbean_Championship_qualifying
CUC	3	1978	1978-10-21	1978-10-29	1978_Caribbean_Championship
CUT	4	Q	1978-06-24	1978-10-13	1978_Caribbean_Championship_qualifying
CIB	3	1948	1948-12-15	1948-12-20	1948_Caribbean_Cup
CIT	4	Q	1948-08-31	1948-10-00	1948_Caribbean_Cup_qualifying
CCC	2				2017_Central_American_Cup
CCC	3	2017	2017-01-12	2017-01-22	2017_Central_American_Cup
CCC	3	2014	2014-09-02	2014-09-13	2014_Central_American_Cup
CCC	3	2013	2013-01-17	2013-01-27	2013_Central_American_Cup
CCC	3	2011	2011-01-13	2011-01-23	2011_Central_American_Cup
UNC	3	2009	2009-01-21	2009-02-01	2009_UNCAF_Nations_Cup
UNC	3	2007	2007-02-07	2007-02-18	2007_UNCAF_Nations_Cup
UNC	3	2005	2005-02-18	2005-02-27	2005_UNCAF_Nations_Cup
UNC	3	2003	2003-02-08	2003-02-23	2003_UNCAF_Nations_Cup
UNC	3	2001	2001-05-22	2001-06-03	2001_UNCAF_Nations_Cup
UNC	3	1999	1999-03-16	1999-03-28	1999_UNCAF_Nations_Cup
UNC	3	1997	1997-04-15	1997-04-27	1997_UNCAF_Nations_Cup
UNT	4	Q	1997-03-22	1997-03-30	1997_UNCAF_Nations_Cup_qualifying
UNC	3	1995	1995-11-28	1995-12-10	1995_UNCAF_Nations_Cup
UNT	4	Q	1995-10-21	1995-10-29	1995_UNCAF_Nations_Cup_qualifying
UNC	3	1993	1993-03-04	1993-03-09	1993_UNCAF_Nations_Cup
UNT	4	Q	1993-02-15	1993-02-19	1993_UNCAF_Nations_Cup_qualifying
UNC	3	1991	1991-05-25	1991-06-02	1991_UNCAF_Nations_Cup
UNT	4	Q	1991-04-17	1991-05-19	1991_UNCAF_Nations_Cup_qualifying
NAC	2				1991_North_American_Championship
NAC	3	1991	1991-03-11	1991-03-16	1991_North_American_Championship
NAC	3	1990	1990-05-05	1990-05-13	1990_North_American_Championship
NAC	3	1949	1949-09-03	1949-09-25	1949_North_American_Championship
NAC	3	1947	1947-07-12	1947-07-20	1947_North_American_Championship
PAC	2				1960_Panamerican_Championship
PAC	3	1960	1960-03-05	1960-03-20	1960_Panamerican_Championship
PAC	3	1956	1956-02-25	1956-03-18	1956_Panamerican_Championship
PAC	3	1952	1952-03-15	1952-04-20	1952_Panamerican_Championship
AF	1				2027_African_Nations_Cup_qualifying
AR	2				2027_African_Nations_Cup_qualifying
AR	3	2027			2027_African_Nations_Cup_qualifying
FQT	4	Q	2026-03-24		2027_African_Nations_Cup_qualifying
AR	3	2025-26	2025-12-20	2026-01-18	2025-26_African_Nations_Cup
FQT	4	Q	2024-03-19	2024-11-19	2025-26_African_Nations_Cup_qualifying
AR	3	2024	2024-01-12	2024-02-11	2024_African_Nations_Cup
FQT	4	Q	2022-03-22	2023-10-17	2024_African_Nations_Cup_qualifying
AR	3	2022	2022-01-08	2022-02-06	2022_African_Nations_Cup
FQT	4	Q	2019-10-08	2021-06-15	2022_African_Nations_Cup_qualifying
AR	3	2019	2019-06-20	2019-07-19	2019_African_Nations_Cup
FQT	4	Q	2017-03-21	2019-03-24	2019_African_Nations_Cup_qualifying
AR	3	2017	2017-01-13	2017-02-05	2017_African_Nations_Cup
FQT	4	Q	2015-06-11	2016-09-04	2017_African_Nations_Cup_qualifying
AR	3	2015	2015-01-16	2015-02-08	2015_African_Nations_Cup
FQT	4	Q	2014-04-11	2014-11-19	2015_African_Nations_Cup_qualifying
AR	3	2013	2013-01-18	2013-02-10	2013_African_Nations_Cup
FQT	4	Q	2012-01-14	2012-10-14	2013_African_Nations_Cup_qualifying
AR	3	2012	2012-01-20	2012-02-12	2012_African_Nations_Cup
FQT	4	Q	2010-06-30	2011-10-09	2012_African_Nations_Cup_qualifying
AR	3	2010	2010-01-09	2010-01-31	2010_African_Nations_Cup
FQT	4	Q	2007-10-13	2009-11-15	2010_African_Nations_Cup_qualifying
AR	3	2008	2008-01-19	2008-02-10	2008_African_Nations_Cup
FQT	4	Q	2006-09-01	2007-10-13	2008_African_Nations_Cup_qualifying
AR	3	2006	2006-01-19	2006-02-10	2006_African_Nations_Cup
FQT	4	Q	2003-10-09	2005-10-09	2006_African_Nations_Cup_qualifying
AR	3	2004	2004-01-23	2004-02-14	2004_African_Nations_Cup
FQT	4	Q	2002-09-05	2003-07-06	2004_African_Nations_Cup_qualifying
AR	3	2002	2002-01-18	2002-02-10	2002_African_Nations_Cup
FQT	4	Q	2000-06-29	2001-06-17	2002_African_Nations_Cup_qualifying
AR	3	2000	2000-01-21	2000-02-13	2000_African_Nations_Cup
FQT	4	Q	1998-07-30	1999-08-20	2000_African_Nations_Cup_qualifying
AR	3	1998	1998-02-06	1998-02-28	1998_African_Nations_Cup
FQT	4	Q	1996-08-10	1997-07-27	1998_African_Nations_Cup_qualifying
AR	3	1996	1996-01-12	1996-02-03	1996_African_Nations_Cup
FQT	4	Q	1994-09-02	1995-07-30	1996_African_Nations_Cup_qualifying
AR	3	1994	1994-03-25	1994-04-10	1994_African_Nations_Cup
FQT	4	Q	1992-06-13	1993-10-24	1994_African_Nations_Cup_qualifying
AR	3	1992	1992-01-11	1992-01-26	1992_African_Nations_Cup
FQT	4	Q	1990-05-17	1991-07-28	1992_African_Nations_Cup_qualifying
AR	3	1990	1990-03-01	1990-03-16	1990_African_Nations_Cup
FQT	4	Q	1988-09-30	1989-07-30	1990_African_Nations_Cup_qualifying
AR	3	1988	1988-03-12	1988-03-27	1988_African_Nations_Cup
FQT	4	Q	1986-08-15	1987-07-19	1988_African_Nations_Cup_qualifying
AR	3	1986	1986-03-06	1986-03-21	1986_African_Nations_Cup
FQT	4	Q	1984-08-03	1985-09-15	1986_African_Nations_Cup_qualifying
AR	3	1984	1984-03-03	1984-03-18	1984_African_Nations_Cup
FQT	4	Q	1982-09-11	1983-08-28	1984_African_Nations_Cup_qualifying
AR	3	1982	1982-03-04	1982-03-19	1982_African_Nations_Cup
FQT	4	Q	1980-08-09	1981-10-04	1982_African_Nations_Cup_qualifying
AR	3	1980	1980-03-07	1980-03-22	1980_African_Nations_Cup
FQT	4	Q	1978-12-02	1979-08-26	1980_African_Nations_Cup_qualifying
AR	3	1978	1978-03-04	1978-03-16	1978_African_Nations_Cup
FQT	4	Q	1976-10-23	1977-10-16	1978_African_Nations_Cup_qualifying
AR	3	1976	1976-02-28	1976-03-14	1976_African_Nations_Cup
FQT	4	Q	1974-08-09	1975-08-15	1976_African_Nations_Cup_qualifying
AR	3	1974	1974-02-28	1974-03-14	1974_African_Nations_Cup
FQT	4	Q	1973-03-09	1973-09-23	1974_African_Nations_Cup_qualifying
AR	3	1972	1972-02-22	1972-03-05	1972_African_Nations_Cup
FQT	4	Q	1970-10-16	1971-07-18	1972_African_Nations_Cup_qualifying
AR	3	1970	1970-02-05	1970-02-16	1970_African_Nations_Cup
FQT	4	Q	1968-11-16	1969-10-26	1970_African_Nations_Cup_qualifying
AR	3	1968	1968-01-10	1968-01-21	1968_African_Nations_Cup
FQT	4	Q	1966-12-08	1967-10-22	1968_African_Nations_Cup_qualifying
AR	3	1965	1965-11-11	1965-11-21	1965_African_Nations_Cup
FQT	4	Q	1965-01-16	1965-09-21	1965_African_Nations_Cup_qualifying
AR	3	1963	1963-11-23	1963-12-01	1963_African_Nations_Cup
FQT	4	Q	1963-05-31	1963-10-06	1963_African_Nations_Cup_qualifying
AR	3	1962	1962-01-13	1962-01-21	1962_African_Nations_Cup
FQT	4	Q	1961-04-07	1961-12-10	1962_African_Nations_Cup_qualifying
AR	3	1959	1959-05-21	1959-05-29	1959_African_Nations_Cup
AR	3	1957	1957-02-09	1957-02-15	1957_African_Nations_Cup
CSF	2				2025_COSAFA_Cup
CSF	3	2025	2025-06-03	2025-06-15	2025_COSAFA_Cup
CSF	3	2024	2024-06-25	2024-07-07	2024_COSAFA_Cup
CSF	3	2023	2023-07-04	2023-07-16	2023_COSAFA_Cup
CSF	3	2022	2022-07-04	2022-07-17	2022_COSAFA_Cup
CSF	3	2021	2021-07-05	2021-07-18	2021_COSAFA_Cup
CSF	3	2019	2019-05-24	2019-06-08	2019_COSAFA_Cup
CSF	3	2018	2018-05-26	2018-06-09	2018_COSAFA_Cup
CSF	3	2017	2017-06-24	2017-07-09	2017_COSAFA_Cup
CSF	3	2016	2016-06-10	2016-06-25	2016_COSAFA_Cup
CSF	3	2015	2015-05-16	2015-05-30	2015_COSAFA_Cup
CSF	3	2013	2013-07-05	2013-07-20	2013_COSAFA_Cup
CSF	3	2009	2009-10-16	2009-11-01	2009_COSAFA_Cup
CSF	3	2008	2008-07-18	2008-08-03	2008_COSAFA_Cup
CSF	3	2007	2007-04-27	2007-10-24	2007_COSAFA_Cup
CSF	3	2006	2006-04-28	2006-10-21	2006_COSAFA_Cup
CSF	3	2005	2005-02-25	2005-08-14	2005_COSAFA_Cup
CSF	3	2004	2004-01-09	2004-11-20	2004_COSAFA_Cup
CSF	3	2003	2003-02-21	2003-10-05	2003_COSAFA_Cup
CSF	3	2002	2002-03-15	2002-09-28	2002_COSAFA_Cup
CSF	3	2001	2001-02-10	2001-09-30	2001_COSAFA_Cup
CSF	3	2000	2000-03-04	2000-08-27	2000_COSAFA_Cup
CSF	3	1999	1999-02-06	1999-10-02	1999_COSAFA_Cup
CSF	3	1998	1998-01-09	1998-09-27	1998_COSAFA_Cup
CSF	3	1997	1997-02-28	1997-08-31	1997_COSAFA_Cup
IOG	2				2023_Indian_Ocean_Games
IOG	3	2023	2023-08-23	2023-09-02	2023_Indian_Ocean_Games
IOG	3	2019	2019-07-17	2019-07-28	2019_Indian_Ocean_Games
IOG	3	2015	2015-07-30	2015-08-08	2015_Indian_Ocean_Games
IOG	3	2011	2011-08-03	2011-08-13	2011_Indian_Ocean_Games
IOG	3	2007	2007-08-09	2007-08-18	2007_Indian_Ocean_Games
IOG	3	2003	2003-08-27	2003-09-06	2003_Indian_Ocean_Games
IOG	3	1998	1998-08-06	1998-08-15	1998_Indian_Ocean_Games
IOG	3	1993	1993-08-19	1993-08-29	1993_Indian_Ocean_Games
IOG	3	1990	1990-08-20	1990-08-30	1990_Indian_Ocean_Games
IOG	3	1985	1985-08-26	1985-08-31	1985_Indian_Ocean_Games
IOG	3	1979	1979-08-25	1979-09-01	1979_Indian_Ocean_Games
TRE	3	1963	1963-09-07	1963-09-18	1963_Triangulaire
TRE	3	1959	1959-09-26	1959-10-03	1959_Triangulaire
TRE	3	1958	1958-10-15	1958-10-23	1958_Triangulaire
TRE	3	1957	1957-10-19	1957-10-27	1957_Triangulaire
TRE	3	1956	1956-06-29	1956-07-08	1956_Triangulaire
TRE	3	1955	1955-07-06	1955-07-14	1955_Triangulaire
TRE	3	1954	1954-07-10	1954-07-18	1954_Triangulaire
TRE	3	1953	1953-07-12	1953-07-20	1953_Triangulaire
TRE	3	1952	1952-07-19	1952-07-27	1952_Triangulaire
TRE	3	1951	1951-07-08	1951-07-15	1951_Triangulaire
TRE	3	1950	1950-06-30	1950-07-05	1950_Triangulaire
TRE	3	1949	1949-07-09	1949-07-14	1949_Triangulaire
TRE	3	1948	1948-07-12	1948-07-17	1948_Triangulaire
TRE	3	1947	1947-06-30	1947-07-03	1947_Triangulaire
AFG	2				1987_African_Games
AFG	3	1987	1987-07-31	1987-08-12	1987_African_Games
AGT	4	Q	1986-07-18	1987-04-30	1987_African_Games_qualifying
AFG	3	1978	1978-07-12	1978-07-28	1978_African_Games
AGT	4	Q	1977-11-09	1978-01-25	1978_African_Games_qualifying
AFG	3	1973	1973-01-07	1973-01-18	1973_African_Games
AGT	4	Q	1972-07-12	1972-12-01	1973_African_Games_qualifying
AFG	3	1965	1965-07-18	1965-07-25	1965_African_Games
AGT	4	Q	1964-12-24	1965-04-16	1965_African_Games_qualifying
ACC	2				2007_Amilcar_Cabral_Cup
ACC	3	2007	2007-12-01	2007-12-07	2007_Amilcar_Cabral_Cup
ACC	3	2005	2005-11-17	2005-11-27	2005_Amilcar_Cabral_Cup
ACC	3	2001	2001-11-02	2001-11-11	2001_Amilcar_Cabral_Cup
ACC	3	2000	2000-05-03	2000-05-14	2000_Amilcar_Cabral_Cup
ACC	3	1997	1997-11-27	1997-12-07	1997_Amilcar_Cabral_Cup
ACC	3	1995	1995-11-16	1995-11-28	1995_Amilcar_Cabral_Cup
ACC	3	1993	1993-11-25	1993-12-05	1993_Amilcar_Cabral_Cup
